algorithm,pop_size,n_gen,crossover_prob,mutation_prob,seed,hv,gd,n_solutions
standard,70,100,0.8,0.5,9,75.95923579825121,0.0,21
standard,70,100,0.8,0.5,10,66.82339413814474,0.0,34
standard,70,100,0.8,0.8,1,72.41910506113004,0.0,35
standard,70,100,0.8,0.8,2,267.1924523743485,0.0,31
standard,70,100,0.8,0.8,3,139.61506815226826,0.0,32
standard,70,100,0.8,0.8,4,102.69540022081776,0.0,33
standard,70,100,0.8,0.8,5,118.46979063836196,0.0,50
standard,70,100,0.8,0.8,6,129.21999875634674,0.0,37
standard,70,100,0.8,0.8,7,109.15090022289365,0.0,23
standard,70,100,0.8,0.8,8,111.82756949294526,0.0,40
standard,70,100,0.8,0.8,9,175.66032188181163,0.0,37
standard,70,100,0.8,0.8,10,304.7127602080757,0.0,62
standard,70,100,0.9,0.5,1,266.62554816857886,0.0,50
standard,70,100,0.9,0.5,2,149.86879718887462,0.0,54
standard,70,100,0.9,0.5,3,190.77600192109458,0.0,49
standard,70,100,0.9,0.5,4,174.15597329522672,0.0,45
standard,70,100,0.9,0.5,5,163.28210733977505,0.0,42
standard,70,100,0.9,0.5,6,148.6762538973297,0.0,38
standard,70,100,0.9,0.5,7,127.78079655521816,0.0,37
standard,70,100,0.9,0.5,8,140.55024196685594,0.0,30
standard,70,100,0.9,0.5,9,143.24111368081034,0.0,40
standard,70,100,0.9,0.5,10,187.47068259877256,0.0,44
standard,70,100,0.9,0.8,1,367.6047272153344,0.0,62
standard,70,100,0.9,0.8,2,223.31232234001024,0.0,65
standard,70,100,0.9,0.8,3,236.1103172860628,0.0,48
standard,70,100,0.9,0.8,4,114.05226410883594,0.0,47
standard,70,100,0.9,0.8,5,95.70166237982204,0.0,28
standard,70,100,0.9,0.8,6,165.4366740331747,0.0,35
standard,70,100,0.9,0.8,7,181.2126337767179,0.0,33
standard,70,100,0.9,0.8,8,264.5912823033475,0.0,49
standard,70,100,0.9,0.8,9,242.37514719802522,0.0,48
standard,70,100,0.9,0.8,10,123.48670081247654,0.0,40
standard,70,200,0.8,0.5,1,209.6694753257609,0.0,70
standard,70,200,0.8,0.5,2,183.61916560845245,0.0,70
standard,70,200,0.8,0.5,3,215.05176861453154,0.0,64
standard,70,200,0.8,0.5,4,70.17117548532286,0.0,63
standard,70,200,0.8,0.5,5,207.77432329278048,0.0,29
standard,70,200,0.8,0.5,6,313.51657043818483,0.0,70
standard,70,200,0.8,0.5,7,198.14305424229292,0.0,70
standard,70,200,0.8,0.5,8,116.91005891670846,0.0,68
standard,70,200,0.8,0.5,9,170.74978062843186,0.0,57
standard,70,200,0.8,0.5,10,102.00306929250048,0.0,38
standard,70,200,0.8,0.8,1,104.64927388969119,0.0,67
standard,70,200,0.8,0.8,2,178.5274123697103,0.0,70
standard,70,200,0.8,0.8,3,107.69036167466913,0.0,68
standard,70,200,0.8,0.8,4,196.3619398738087,0.0,63
standard,70,200,0.8,0.8,5,228.65926467111674,0.0,63
standard,70,200,0.8,0.8,6,130.12436026027626,0.0,53
standard,70,200,0.8,0.8,7,168.30898501323762,0.0,50
standard,70,200,0.8,0.8,8,258.412082688546,0.0,70
standard,70,200,0.8,0.8,9,204.9041253924982,0.0,59
standard,70,200,0.8,0.8,10,375.90926359910526,0.0,70
standard,70,200,0.9,0.5,1,326.9132880789532,0.0,70
standard,70,200,0.9,0.5,2,141.13693704110227,0.0,70
standard,70,200,0.9,0.5,3,212.16502047484562,0.0,70
standard,70,200,0.9,0.5,4,271.6806572331316,0.0,52
standard,70,200,0.9,0.5,5,229.48540158287878,0.0,69
standard,70,200,0.9,0.5,6,194.40852885350532,0.0,67
standard,70,200,0.9,0.5,7,321.69457963983155,0.0,70
standard,70,200,0.9,0.5,8,199.83116857970367,0.0,70
standard,70,200,0.9,0.5,9,284.73866611314253,0.0,57
standard,70,200,0.9,0.5,10,198.65358744031437,0.0,55
standard,70,200,0.9,0.8,1,374.4637181882018,0.0,70
standard,70,200,0.9,0.8,2,341.5507093303006,0.0,70
standard,70,200,0.9,0.8,3,322.76275777905516,0.0,70
standard,70,200,0.9,0.8,4,123.92222248876669,0.0,68
standard,70,200,0.9,0.8,5,150.97169541323416,0.0,46
standard,70,200,0.9,0.8,6,306.83133614702876,0.0,70
standard,70,200,0.9,0.8,7,208.89977486719,0.0,70
standard,70,200,0.9,0.8,8,374.79010243277526,0.0,70
standard,70,200,0.9,0.8,9,234.69852739268774,0.0,70
standard,70,200,0.9,0.8,10,220.75255814912035,0.0,62
standard,100,100,0.8,0.5,1,199.08095436110287,0.0,43
standard,100,100,0.8,0.5,2,90.95580343469751,0.0,31
standard,100,100,0.8,0.5,3,170.22403254717386,0.0,65
standard,100,100,0.8,0.5,4,202.65817356393765,0.0,73
standard,100,100,0.8,0.5,5,380.9523288821446,0.0,62
standard,100,100,0.8,0.5,6,191.8402470817336,0.0,35
standard,100,100,0.8,0.5,7,74.10151266729096,0.0,49
standard,100,100,0.8,0.5,8,176.16950121465217,0.0,26
standard,100,100,0.8,0.5,9,218.4970314191076,0.0,45
standard,100,100,0.8,0.5,10,440.0796576828074,0.0,66
standard,100,100,0.8,0.8,1,471.9197090865961,0.0,95
standard,100,100,0.8,0.8,2,152.7924105190099,0.0,32
standard,100,100,0.8,0.8,3,246.02108033443685,0.0,51
standard,100,100,0.8,0.8,4,141.89655627995245,0.0,35
standard,100,100,0.8,0.8,5,280.74672511056315,0.0,52
standard,100,100,0.8,0.8,6,229.30945605236647,0.0,44
standard,100,100,0.8,0.8,7,165.47668233831894,0.0,61
standard,100,100,0.8,0.8,8,246.57873331347037,0.0,62
standard,100,100,0.8,0.8,9,202.79969721486248,0.0,66
standard,100,100,0.8,0.8,10,228.8636711934411,0.0,59
standard,100,100,0.9,0.5,1,235.5975876424125,0.0,59
standard,100,100,0.9,0.5,2,207.94697182921973,0.0,46
standard,100,100,0.9,0.5,3,198.7577921466618,0.0,57
standard,100,100,0.9,0.5,4,215.28232961439588,0.0,67
standard,100,100,0.9,0.5,5,209.48339323316,0.0,65
